cod;nome;período;valor
17;TO;2022;351
33;RJ;2022;2652
12;AC;2022;185
26;PE;2022;2658
33;RJ;2023;2864
43;RS;2023;456
28;SE;2023;607
17;TO;2023;346
21;MA;2023;1584
16;AP;2023;363
41;PR;2023;699
31;MG;2023;1829
14;RR;2023;114
26;PE;2023;2590
22;PI;2023;613
12;AC;2023;169
42;SC;2023;159
29;BA;2023;4941
13;AM;2023;1273
32;ES;2023;846
25;PB;2023;850
23;CE;2023;2475
15;PA;2023;2099
50;MS;2023;285
52;GO;2023;1029
24;RN;2023;762
35;SP;2023;1275
51;MT;2023;812
27;AL;2023;1050
53;DF;2023;208
11;RO;2023;383
